file,problem_size,basic_time,basic_mem,eff_time,eff_mem
in01,20,0.0,1.2451171875,0.0,1.2998046875
in02,96,3.997802734375,42.4072265625,5.00178337097168,42.4619140625
in03,180,24.757862091064453,169.4013671875,20.024776458740234,55.841796875
in04,448,72.38650321960449,661.0478515625,87.23020553588867,125.7900390625
in05,640,164.2148494720459,1473.4853515625,227.70404815673828,92.201171875
in06,674,317.533016204834,2600.361328125,398.03099632263184,106.78125
in07,928,920.4983711242676,5822.5869140625,1062.0145797729492,88.4892578125
in08,1296,1882.422924041748,10322.2978515625,1901.9055366516113,144.2216796875
in09,1818,3431.1208724975586,16111.474609375,3366.833209991455,151.3935546875
in10,2048,4611.376047134399,23172.8837890625,5465.550899505615,230.4345703125
in11,2506,9124.995231628418,41135.654296875,8785.778522491455,228.029296875
in12,3624,14660.341501235962,64225.5283203125,14401.043176651001,256.9013671875
in13,5120,21152.953147888184,92435.5400390625,21002.392768859863,303.7958984375
in14,4298,30193.51363182068,125739.404296875,27977.82564163208,341.5908203125
in15,5048,35180.07731437683,154098.5361328125,36145.79939842224,386.548828125
